City,Sampled_Count,Sampled_Proportion
Irving,3028,0.0007836264513781526
Fort Mill,3026,0.0007831088645542568
Hawthorne,3006,0.0007779329963152994
Simpsonville,3004,0.0007774154094914036
Auburn,2998,0.0007758626490197164
Chandler,2996,0.0007753450621958207
Piedmont,2996,0.0007753450621958207
Brentwood,2946,0.0007624053915984271
Redwood City,2913,0.0007538652090041474
Boca Raton,2909,0.000752830035356356
North Hollywood,2900,0.0007505008946488252
Castro Valley,2883,0.0007461014066457113
Pendleton,2876,0.0007442898527620762
Hyattsville,2870,0.000742737092290389
Staten Island,2867,0.0007419607120545454
Milton,2849,0.0007373024306394837
Opa Locka,2846,0.0007365260504036401
Perris,2821,0.0007300562151049433
Carson,2792,0.0007225512061584551
Garden Grove,2776,0.0007184105115672891
Elmhurst,2775,0.0007181517181553413
Roseville,2767,0.0007160813708597583
Syracuse,2766,0.0007158225774478105
Torrance,2753,0.0007124582630924881
Tustin,2740,0.0007090939487371658
West Columbia,2701,0.0006990010056711988
Middletown,2698,0.0006982246254353552
Rancho Cucamonga,2697,0.0006979658320234074
Costa Mesa,2692,0.000696671864963668
Marietta,2692,0.000696671864963668
Newhall,2689,0.0006958954847278244
Mira Loma,2649,0.0006855437482499096
Harrisburg,2625,0.0006793327063631606
Burbank,2619,0.0006777799458914734
Pleasanton,2585,0.0006689809698852458
Riverview,2575,0.0006663930357657671
North Charleston,2564,0.0006635463082343405
Vallejo,2556,0.0006614759609387576
Madera,2550,0.0006599232004670703
Bethesda,2543,0.0006581116465834353
Winter Park,2539,0.0006570764729356438
Chino,2537,0.000656558886111748
Fort Lee,2535,0.0006560412992878523
Greensboro,2528,0.0006542297454042172
Boston,2501,0.0006472423232816247
Centreville,2495,0.0006456895628099375
Fallbrook,2487,0.0006436192155143545
Bloomington,2466,0.0006381845538634492
Manassas,2466,0.0006381845538634492
Ashland,2459,0.0006363729999798141
Napa,2456,0.0006355966197439705
Orangeburg,2455,0.0006353378263320226
Hampton,2443,0.0006322323053886482
West Valley City,2428,0.0006283504042094301
Jamaica,2420,0.0006262800569138471
Petaluma,2408,0.0006231745359704727
Pacoima,2383,0.000616704700671776
Durham,2378,0.0006154107336120366
Santa Fe Springs,2375,0.000614634353376193
North Miami Beach,2368,0.0006128227994925578
Glendora,2356,0.0006097172785491835
Visalia,2351,0.0006084233114894441
Culver City,2350,0.0006081645180774962
Palm Harbor,2346,0.0006071293444297047
Santa Barbara,2338,0.0006050589971341218
Walnut Creek,2334,0.0006040238234863303
Ventura,2332,0.0006035062366624345
Akron,2304,0.0005962600211278942
Temecula,2303,0.0005960012277159463
Stafford,2302,0.0005957424343039984
Lynwood,2285,0.0005913429463008846
