City,Count,Proportion
Myrtle Beach,9706,0.0012559294660902279
Tempe,9531,0.0012332849517108966
Gardena,9479,0.0012265562960096096
Ocala,9456,0.0012235801598340403
Florence,9412,0.0012178866819329514
Fontana,9388,0.0012147811485323573
Santa Ana,9314,0.0012052057538805257
Norwalk,9260,0.0011982183037291892
Santa Rosa,9255,0.0011975713176040654
Alexandria,9223,0.0011934306064032734
Baltimore,9128,0.001181137870025922
Sherman Oaks,9108,0.0011785499255254272
Orange,9050,0.0011710448864739916
Fairfax,9010,0.0011658689974730016
Greer,8850,0.0011451654414690415
Summerville,8735,0.0011302847605911951
Elgin,8699,0.001125626460490304
Modesto,8555,0.00110699326008674
Livermore,8521,0.0011025937544358985
Decatur,8435,0.00109146559308377
Huntsville,8420,0.0010895246347083988
Charleston,8380,0.0010843487457074088
North Miami,8228,0.0010646803675036468
Tacoma,8210,0.0010623512174532013
Frederick,8070,0.0010442356059497363
Wilmington,8004,0.0010356953890981026
Woodbridge,7931,0.0010262493916712958
Silver Spring,7926,0.0010256024055461722
Homestead,7882,0.001019908927645083
Downey,7868,0.0010180973664947366
Colorado Springs,7820,0.0010118862996935487
Providence,7758,0.001003863671742014
Diamond Bar,7695,0.0009957116465654546
Colton,7651,0.0009900181686643657
Garner,7633,0.0009876890186139202
Fredericksburg,7601,0.0009835483074131283
Rowland Heights,7586,0.000981607349037757
Virginia Beach,7575,0.0009801839795624847
Inglewood,7451,0.0009641387236594156
Salem,7385,0.0009555985068077822
Salinas,7356,0.0009518459872820644
Ogden,7318,0.0009469288927311238
Tallahassee,7314,0.0009464113038310249
Chesapeake,7256,0.0009389062647795893
Jackson,7219,0.0009341185674536735
La Puente,7212,0.0009332127868785003
Reno,7113,0.00092040246160105
Concord,7082,0.0009163911476252827
Albuquerque,7074,0.0009153559698250847
Aurora,6965,0.0009012516722973869
Cerritos,6943,0.0008984049333468424
Compton,6940,0.0008980167416717681
San Leandro,6898,0.0008925820582207286
Mobile,6895,0.0008921938665456544
Sylmar,6886,0.0008910292915204316
Scottsdale,6882,0.0008905117026203327
Los Gatos,6878,0.0008899941137202336
Redlands,6857,0.0008872767719947139
Flushing,6846,0.0008858534025194416
Tuscaloosa,6779,0.0008771837884427833
Pompano Beach,6757,0.0008743370494922389
Norristown,6753,0.0008738194605921398
Mesquite,6695,0.0008663144215407043
San Mateo,6660,0.0008617855186648381
Knoxville,6647,0.0008601033547395163
Escondido,6572,0.00085039856286266
Hartford,6537,0.0008458696599867937
Conway,6516,0.000843152318261274
Hacienda Heights,6381,0.0008256836928829327
Westminster,6360,0.0008229663511574129
Chester,6350,0.0008216723789071654
Berkeley,6255,0.0008093796425298141
Auburn,6204,0.0008027803840535518
West Covina,6203,0.0008026509868285271
Simpsonville,6134,0.0007937225783018193
Bellevue,6121,0.0007920404143764976
Moreno Valley,6106,0.0007900994560011262
Mesa,6091,0.000788158497625755
Fort Mill,6027,0.000779877075224171
Irving,6004,0.0007769009390486018
Piedmont,5969,0.0007723720361727355
North Hollywood,5962,0.0007714662555975622
Chandler,5957,0.0007708192694724385
Hawthorne,5948,0.0007696546944472157
Redwood City,5872,0.0007598205053453346
Pendleton,5867,0.0007591735192202109
Boca Raton,5837,0.0007552916024694684
Brentwood,5818,0.0007528330551939982
Staten Island,5806,0.0007512802884937012
Hyattsville,5725,0.0007407991132666964
Opa Locka,5722,0.0007404109215916221
Castro Valley,5703,0.0007379523743161518
Milton,5686,0.0007357526214907311
Syracuse,5657,0.0007320001019650133
Carson,5650,0.00073109432138984
Perris,5632,0.0007287651713393945
Garden Grove,5565,0.0007200955572627363
West Columbia,5489,0.0007102613681608552
Elmhurst,5484,0.0007096143820357315
Rancho Cucamonga,5468,0.0007075440264353355
Tustin,5465,0.0007071558347602612
Torrance,5465,0.0007071558347602612
Roseville,5434,0.0007031445207844939
Costa Mesa,5414,0.000700556576283999
Newhall,5393,0.0006978392345584792
Middletown,5391,0.0006975804401084297
Marietta,5303,0.0006861934843062517
Burbank,5264,0.0006811469925302864
Vallejo,5241,0.0006781708563547171
Harrisburg,5199,0.0006727361729036777
Mira Loma,5186,0.0006710540089783558
Fort Lee,5181,0.0006704070228532321
Riverview,5154,0.0006669132977775639
Pleasanton,5141,0.0006652311338522421
North Charleston,5105,0.0006605728337513511
Bethesda,5090,0.0006586318753759798
Madera,5072,0.0006563027253255343
Greensboro,5047,0.0006530677946999156
Fallbrook,5046,0.0006529383974748908
Winter Park,5041,0.000652291411349767
Bloomington,5023,0.0006499622612993215
Chino,5023,0.0006499622612993215
Ashland,5018,0.0006493152751741978
Petaluma,5011,0.0006484094945990246
Orangeburg,4980,0.0006443981806232573
Hampton,4953,0.000640904455547589
Napa,4950,0.0006405162638725147
Centreville,4924,0.0006371519360218712
Boston,4890,0.0006327524303710297
Durham,4879,0.0006313290608957574
Manassas,4840,0.0006262825691197922
Jamaica,4798,0.0006208478856687526
West Valley City,4798,0.0006208478856687526
Glendora,4784,0.0006190363245184062
Santa Fe Springs,4742,0.0006136016410673667
Visalia,4737,0.0006129546549422429
Pacoima,4716,0.0006102373132167232
North Miami Beach,4691,0.0006070023825911043
Santa Barbara,4683,0.0006059672047909064
Walnut Creek,4665,0.0006036380547404608
Palm Harbor,4652,0.0006019558908151391
Palmdale,4614,0.0005970387962641986
Newport News,4602,0.0005954860295639016
Ventura,4582,0.0005928980850634065
Temecula,4578,0.0005923804961633076
Culver City,4575,0.0005919923044882333
Yonkers,4571,0.0005914747155881344
Lynwood,4569,0.0005912159211380848
Akron,4566,0.0005908277294630105
Englewood,4552,0.0005890161683126641
Azusa,4549,0.0005886279766375898
Farmington,4545,0.0005881103877374909
Gainesville,4540,0.000587463401612367
Stafford,4496,0.000581769923711278
Asheville,4487,0.0005806053486860553
Clinton,4473,0.0005787937875357088
Van Nuys,4471,0.0005785349930856593
Little Rock,4413,0.0005710299540342237
Bend,4387,0.0005676656261835802
Lorton,4364,0.000564689490008011
Des Moines,4351,0.0005630073260826892
Hesperia,4346,0.0005623603399575655
Sterling,4325,0.0005596429982320457
Lehigh Acres,4300,0.000556408067606427
Trenton,4257,0.0005508439869303627
Grand Prairie,4256,0.000550714589705338
Emeryville,4249,0.0005498088091301647
Pittsburg,4246,0.0005494206174550904
El Monte,4232,0.000547609056304744
Melbourne,4221,0.0005461856868294717
Jersey City,4214,0.0005452799062542985
Eugene,4192,0.0005424331673037539
Manor,4180,0.0005408804006034569
Morrisville,4169,0.0005394570311281847
New Port Richey,4157,0.0005379042644278876
Greenwood,4156,0.0005377748672028629
Cary,4145,0.0005363514977275906
Sun Valley,4124,0.0005336341560020709
Grand Blanc,4113,0.0005322107865267986
Elk Grove,4107,0.0005314344031766502
Gaffney,4106,0.0005313050059516254
Mountain View,4105,0.0005311756087266006
Tyler,4080,0.0005279406781009819
Taylors,4041,0.0005228941863250166
Falls Church,4035,0.0005221178029748681
Lake City,3992,0.0005165537222988038
Marysville,3977,0.0005146127639234326
Boiling Springs,3973,0.0005140951750233335
Buena Park,3971,0.0005138363805732841
Bonita Springs,3942,0.0005100838610475663
Pottstown,3939,0.000509695669372492
San Marcos,3923,0.000507625313772096
Pflugerville,3917,0.0005068489304219476
Conshohocken,3914,0.0005064607387468733
Santa Cruz,3900,0.0005046491775965268
Martinez,3900,0.0005046491775965268
Lake Worth,3898,0.0005043903831464773
Encino,3883,0.0005024494247711061
Renton,3875,0.000501414246970908
Covington,3873,0.0005011554525208585
Easley,3854,0.0004986969052453883
San Dimas,3848,0.0004979205218952397
Sunnyvale,3845,0.0004975323302201655
Medford,3841,0.0004970147413200665
Huntersville,3838,0.0004966265496449923
Duncan,3796,0.0004911918661939527
Carlsbad,3795,0.0004910624689689279
Dublin,3781,0.0004892509078185815
Union,3777,0.0004887333189184824
Lodi,3774,0.0004883451272434082
